,log_10(mvir),n(>M)
0,10000000000.0,0.25437833031965895
1,11220184543.019653,0.2298565805257836
2,12589254117.941713,0.20770556870119053
3,14125375446.227612,0.18769487950981792
4,15848931924.611238,0.16961618788074287
5,17782794100.389374,0.15328221362349964
6,19952623149.68899,0.13852437001049633
7,22387211385.68365,0.1251900254703088
8,25118864315.09613,0.11314087621467457
9,28183829312.644955,0.10225244013875115
10,31622776601.68431,0.09241279375718464
11,35481338923.358185,0.08352072385543947
12,39810717055.35051,0.07548440181749078
13,44668359215.09726,0.06822101010685981
14,50118723362.72838,0.0616561195362893
15,56234132519.036285,0.05572252768553258
16,63095734448.02097,0.050359258605387945
17,70794578438.41576,0.04551116779465466
18,79432823472.4305,0.041128681356478305
19,89125093813.37732,0.037167127870969416
20,100000000000.00327,0.03358599660180574
21,112201845430.2002,0.030348550613418162
22,125892541179.42125,0.027421729381542758
23,141253754462.28073,0.024775791547206955
24,158489319246.11758,0.02238379806572035
25,177827941003.89957,0.020221273628331215
26,199526231496.89645,0.01826614878945459
27,223872113856.84384,0.016498587291404094
28,251188643150.9695,0.014900652716287276
29,281838293126.45874,0.01345604174993861
30,316227766016.85345,0.012150009944205615
31,354813389233.59344,0.010969304806936427
32,398107170553.51807,0.009901970556085412
33,446683592150.98724,0.008937145242672842
34,501187233627.3002,0.008064973010187822
35,562341325190.3812,0.007276587793905146
36,630957344480.2305,0.0065640092995535955
37,707945784384.1808,0.0059199961314830565
38,794328234724.3309,0.005337960548819305
39,891250938133.8024,0.0048119652341893256
40,1000000000000.0654,0.004336673951623215
41,1122018454302.0388,0.003907253940266001
42,1258925411794.2537,0.0035193041709844857
43,1412537544622.8538,0.003168845927629123
44,1584893192461.2275,0.0028523048321656285
45,1778279410039.0537,0.0025664521408478394
46,1995262314969.0298,0.0023083487794109733
47,2238721138568.5117,0.0020753273753629084
48,2511886431509.7773,0.0018649902795851196
49,2818382931264.6797,0.0016751782411076424
50,3162277660168.638,0.0015039281470068488
51,3548133892336.051,0.001349452256547438
52,3981071705535.311,0.0012101408706846613
53,4466835921510.019,0.0010845476058766344
54,5011872336273.166,0.0009713603818531028
55,5623413251903.997,0.000869382194047366
56,6309573444802.511,0.000777531938067261
57,7079457843842.039,0.0006948391942283701
58,7943282347243.568,0.0006204262390560157
59,8912509381338.316,0.0005534925625974374
60,10000000000000.982,0.0004933119930154139
61,11220184543020.754,0.0004392325896968081
62,12589254117942.95,0.0003906669095327813
63,14125375446228.998,0.0003470798942848724
64,15848931924612.795,0.0003079841114907511
65,17782794100391.117,0.0002729413378431696
66,19952623149690.95,0.00024155794683917273
67,22387211385685.85,0.00021347630750077052
68,25118864315098.594,0.00018836978841406258
69,28183829312647.72,0.00016594387089383865
70,31622776601687.414,0.0001459344703665612
71,35481338923361.664,0.0001281024546482469
72,39810717055354.414,0.00011222944386771625
73,44668359215101.65,9.811764317475153e-05
74,50118723362733.3,8.558974606771048e-05
75,56234132519041.805,7.448588785016889e-05
76,63095734448027.17,6.466032825501465e-05
77,70794578438422.7,5.5980466065536095e-05
78,79432823472438.28,4.83273228464781e-05
79,89125093813386.08,4.159406098964329e-05
80,100000000000013.1,3.568357800148144e-05
81,112201845430211.22,3.05073063060242e-05
82,125892541179433.61,2.5985609740201312e-05
83,141253754462294.62,2.20471805296953e-05
84,158489319246133.12,1.8627492190443373e-05
85,177827941003917.0,1.5667760695982988e-05
86,199526231496916.03,1.31149920257701e-05
87,223872113856865.8,1.0921830310827298e-05
88,251188643150994.2,9.045680911440493e-06
89,281838293126486.44,7.44792640212139e-06
90,316227766016884.5,6.093725970468216e-06
91,354813389233628.3,4.952035530844661e-06
92,398107170553557.2,3.995163770518654e-06
93,446683592151031.06,3.1982202591117254e-06
94,501187233627349.4,2.5388591484550206e-06
95,562341325190436.5,1.997293970536621e-06
96,630957344480292.4,1.5560799047568836e-06
97,707945784384250.2,1.1997680637568144e-06
98,794328234724408.9,9.146885684913536e-07
99,891250938133889.9,6.889011444267326e-07
